No information,World War II Memorial,"
Washington, DC","
Through stone architecture and bronze sculptures, the World War II Memorial recognizes the ways Americans served, honors those who fell, and recognizes the victory they achieved to restore freedom and end tyranny around the globe.
",DC
National Historic Trail,Captain John Smith Chesapeake,"Various States VA,MD,DE,DC,PA,NY","
Four hundred years ago Englishman John Smith and a small crew of adventurers set out in an open boat to explore the Chesapeake Bay. Between 1607 and 1609 Smith and his crew mapped nearly 3,000 miles of the Bay and rivers and documented American Indian communities. Smith’s map and journals are a remarkable record of the 17th-century Chesapeake. Come join the adventure on the Chesapeake Bay!
","DC,DE,MD,NY,PA,VA"
No information,Chesapeake Bay,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV","
NPS helps you learn about and enjoy the Chesapeake Bay, the largest estuary in North America.
Here, you can visit major league cities, colonial towns, American Indian landscapes, farms and fishing villages. You can learn to kayak, pick crabs, go fishing, tour a lighthouse, slurp oysters, and slow down to enjoy the natural beauty of the Chesapeake.
","DC,DE,MD,NY,PA,VA,WV"
National Historical Park,First State,"DE,PA","
Famous as the First State to ratify the Constitution, Delaware was born out of a conflict among three world powers for dominance of the Delaware Valley.  From this beginning, the region developed a distinct character that tolerated diversity in religion and national origin and valued independence.
","DE,PA"
National Historic Trail,Washington-Rochambeau,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC","
In 1781, General Rochambeau’s French Army joined forces with General Washington’s Continental Army to fight the British Army in Yorktown, Virginia. With the French Navy in support, the allied armies moved hundreds of miles to become the largest troop movement of the American Revolution. The effort and cooperation between the two sides led to a victory at Yorktown and secured American independence.
","CT,DC,DE,MD,MA,NJ,NY,PA,RI,VA"
National Preserve,Big Cypress,"Ochopee, FL","
The freshwaters of the Big Cypress Swamp, essential to the health of the neighboring Everglades, support the rich marine estuaries along Florida's southwest coast. Protecting over 729,000 acres of this vast swamp, Big Cypress National Preserve contains a mixture of tropical and temperate plant communities that are home to a diversity of wildlife, including the elusive Florida panther.
",FL
National Park,Biscayne,"Miami, Key Biscayne & Homestead, FL","
Within sight of downtown Miami, yet worlds away, Biscayne protects a rare combination of aquamarine waters, emerald islands, and fish-bejeweled coral reefs. Here too is evidence of 10,000 years of human history, from pirates and shipwrecks to pineapple farmers and presidents. Outdoors enthusiasts can boat, snorkel, camp, watch wildlife…or simply relax in a rocking chair gazing out over the bay.
",FL
National Seashore,Canaveral," Titusville and New Smyrna Beach, FL","
Since ancient times, this barrier island has provided sanctuary to both people and wildlife. Many threatened and endangered species find refuge here, including sea turtles who nest on its shores. Like first natives and early settlers, you too can find tranquility. Stroll down a wooded trail. Reflect on a pristine undeveloped shoreline - the way things used to be.
",FL
National Monument,Castillo de San Marcos,"St. Augustine, FL","
A monument not only of stone and mortar but of human determination and endurance, the Castillo de San Marcos symbolizes the clash between cultures which ultimately resulted in our uniquely unified nation.  Still resonant with the struggles of an earlier time, these original walls provide tangible evidence of America’s grim but remarkable history.
",FL
National Memorial,De Soto,"Bradenton, FL","
In May 1539, Conquistador Hernando de Soto’s army of soldiers, hired mercenaries, craftsmen, and clergy made landfall in Tampa Bay. They were met with fierce resistance of indigenous people protecting their homelands. De Soto’s quest for glory and gold would be a four year, four thousand mile odyssey of intrigue, warfare, disease, and discovery that would form the history of the United States.
",FL
National Park,Dry Tortugas,"Key West, FL","
Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. This 100-square mile park is mostly open water with seven small islands.  Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life, and the vast assortment of bird life that frequents the area.
",FL
National Park,Everglades,"Miami, Naples, and Homestead, FL","
Everglades National Park protects an unparalleled landscape that provides important habitat for numerous rare and endangered species like the manatee,  American crocodile, and the elusive Florida panther.
An international treasure as well -  a World Heritage Site, International Biosphere Reserve, a Wetland of International Importance, and a specially protected area under the Cartagena Treaty.
",FL
National Memorial,Fort Caroline,"the Timucuan Preserve; Jacksonville, FL","
At the settlement of la Caroline, French settlers struggled for survival in a new world.  Many sought religious freedom in a new land, while others were soldiers or tradesmen starting a new life.  The climactic battles fought here between the French and Spanish marked the first time that European nations fought for control of lands in what is now the United States.  It would not be the last time. 
",FL
National Monument,Fort Matanzas,"St. Augustine, FL","
Coastal Florida was a major field of conflict as European nations fought for control in the New World. As part of this struggle, Fort Matanzas guarded St. Augustine’s southern river approach. The colonial wars are over, but the monument is still protecting—not just the historic fort, but also the wild barrier island and the plants and animals who survive there amidst a sea of modern development
",FL
National Seashore,Gulf Islands,"Gulf Breeze, Florida  and Ocean Springs, Mississippi            , FL,MS","
What is it that entices people to the sea?  Poet John Masefield wrote, “I must go down to the seas again, for the call of the running tide is a wild call and a clear call that may not be denied.”  Millions of visitors are drawn to the islands in the northern Gulf of Mexico for the white sandy beaches, the aquamarine waters, a boat ride, a camping spot, a tour of an old fort, or a place to fish.
","FL,MS"
Cultural Heritage Corridor,Gullah/Geechee,"FL,GA,NC,SC","
Designated by Congress in 2006, the Gullah Geechee Cultural Heritage Corridor extends from Wilmington, North Carolina in the north to Jacksonville, Florida in the south. It is home to one of America's most unique cultures, a tradition first shaped by captive Africans brought to the southern United States from West Africa and continued in later generations by their descendents.
","FL,GA,NC,SC"
Ecological & Historic Preserve,Timucuan,"Jacksonville, FL","
Visit one of the last unspoiled coastal wetlands on the Atlantic Coast. Discover 6,000 years of human history and experience the beauty of salt marshes, coastal dunes, and hardwood hammocks.
The Timucuan Preserve includes Fort Caroline and Kingsley Plantation.
",FL
National Historic Site,Andersonville,"Andersonville, GA","
The Camp Sumter military prison at Andersonville was one of the largest Confederate military prisons during the Civil War. During the 14 months the prison existed, more than 45,000 Union soldiers were confined here. Of these, almost 13,000 died here. Today, Andersonville National Historic Site is a memorial to all American prisoners of war throughout the nation's history.
",GA
National Scenic Trail,Appalachian,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV","
The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.
","CT,GA,ME,MD,MA,NH,NJ,NY,NC,PA,TN,VT,VA,WV"
National Heritage Area,Arabia Mountain,No information,"
For millions of years, granite monadnocks have stood watch over the rivers and forests of Georgia. These breathtaking landscapes are the cornerstones of the Arabia Mountain National Heritage Area, which serves to protect & promote these outcrops and the surrounding region as a recreational wonder and national treasure.
",GA
National Heritage Area,Augusta Canal,"Augusta, GA","
The Augusta Canal helped usher the Industrial Revolution into the American South. Built in 1845 as a source of power, water, and transportation, the canal today is the only fully intact American industrial canal in continuous operation. By 1847 the first mills opened, followed by the massive Civil War era Confederate Powder Works and many more industries in the later decades of the 19th century.
",GA
National Recreation Area,Chattahoochee River,"Atlanta, GA","
Today the river valley attracts us for so many reasons. Take a solitary walk to enjoy nature’s display, raft leisurely through the rocky shoals with friends, fish the misty waters as the sun comes up, or have a picnic on a Sunday afternoon. Get Outdoors and experience your Chattahoochee River National Recreation Area as you have never done before.
",GA
National Military Park,Chickamauga & Chattanooga,"Fort Oglethorpe, GA,TN","
In 1863, Union and Confederate forces fought for control of Chattanooga, known as the ""Gateway to the Deep South."" The Confederates were victorious at nearby Chickamauga in September. However, renewed fighting in Chattanooga that November provided Union troops victory and control of the city. After the fighting, a Confederate soldier ominously wrote, ""This...is the death-knell of the Confederacy.""
","GA,TN"
National Seashore,Cumberland Island,"Saint Marys, GA","
St Marys is the gateway to Cumberland Island, Georgia's largest and southernmost barrier island. Here pristine maritime forests, undeveloped beaches and wide marshes whisper the stories of both man and nature. Natives, missionaries, enslaved African Americans and Wealthy Industrialists all walked here.  Cumberland Island is also home to over 9,800 acres of Congressionally designated Wilderness.
",GA
National Monument,Fort Frederica,"St. Simons Island, GA","
Georgia's fate was decided in 1742 when Spanish and British forces clashed on St. Simons Island. Fort Frederica's troops defeated the Spanish, ensuring Georgia's future as a British colony. Today, the archeological remnants of Frederica are protected by the National Park Service.
",GA
National Monument,Fort Pulaski,"Savannah, GA","
For much of the 19th century, masonry fortifications were the United States’ main defense against overseas enemies. However, during the Civil War, new technology proved its superiority to these forts. The Union army used rifled cannon and compelled the Confederate garrison inside Fort Pulaski to surrender. The siege was a landmark experiment in the history of military science and invention.
",GA
Cultural Heritage Corridor,Gullah/Geechee,"FL,GA,NC,SC","
Designated by Congress in 2006, the Gullah Geechee Cultural Heritage Corridor extends from Wilmington, North Carolina in the north to Jacksonville, Florida in the south. It is home to one of America's most unique cultures, a tradition first shaped by captive Africans brought to the southern United States from West Africa and continued in later generations by their descendents.
","FL,GA,NC,SC"
National Historic Site,Jimmy Carter,"Plains, GA","
Few U.S. Presidents have had such close ties with where they were born and raised. The rural southern culture of Plains, Georgia, that revolves around farming, church and school, had a large influence in molding the character and in shaping the political policies of the 39th President of the United States.
",GA
National Battlefield Park,Kennesaw Mountain,"Kennesaw, GA","
Kennesaw Mountain National Battlefield Park is a 2,965 acre National Battlefield that preserves a Civil War battleground of the Atlanta Campaign. Opposing forces maneuvered and fought here from June 19, 1864 until July 2, 1864. Although most famous as a Civil War battlefield, Kennesaw Mountain has a much richer story.
",GA
National Historical Park,"Martin Luther King, Jr.","Atlanta, GA","
A young boy grows up in a time of segregation…A dreamer is moved by destiny into leadership of the modern civil rights movement…This was Martin Luther King, Jr.  Come hear his story, visit the home of his birth, and where he played as a child.  Walk in his footsteps, and hear his voice in the church where he moved hearts and minds.  Marvel at how he was an instrument for social change.
",GA
National Monument,Ocmulgee,"Macon, GA","
Welcome to Ocmulgee Mounds National Historical Park. This park is a prehistoric American Indian site.  American Indians first came here during the Paleo-Indian period hunting Ice Age mammals. Many different American Indian cultures occupied this land for thousands of years.  Around 900 CE, the Mississippian Period began. They constructed mounds for their elite, which remain today.
",GA
National Historic Trail,Trail Of Tears,"AL,AR,GA,IL,KY,MO,NC,OK,TN","
Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839.
","AL,AR,GA,IL,KY,MO,NC,OK,TN"
National Historic Trail,Ala Kahakai,"the Island of Hawaii, HI","
Established in 2000 for the preservation, protection and interpretation of traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175 mile corridor and trail network of cultural and historical significance. It traverses through hundreds of ancient Hawaiian settlement sites and over 200 ahupua'a (traditional land divisions). Connect now!
",HI
National Park,Haleakalā,"Kula, Maui, HI","
This special place vibrates with stories of ancient and modern Hawaiian culture and protects the bond between the land and its people. The park also cares for endangered species, some of which exist nowhere else. Come visit this special place - renew your spirit amid stark volcanic landscapes and sub-tropical rain forest with an unforgettable hike through the backcountry.
",HI
National Park,Hawai'i Volcanoes,"Hilo, HI","
Hawai‘i Volcanoes National Park protects some of the most unique geologic, biologic, and cultural landscapes in the world. Extending from sea level to the summit of Mauna Loa at 13,677 feet, the park encompasses the summits of two of the world's most active volcanoes - Kilauea and Mauna Loa. Learn more about this special place and traditional Hawaiian culture connected to these landscapes.
",HI
National Monument,Honouliuli,HI,"
Although not yet open to the public, Honouliuli National Monument (NM) will tell the history of internment, martial law, and the experience of prisoners of war in Hawai‘i during World War II. Honouliuli NM will be a place to reflect on wartime experiences and recommit ourselves to the pursuit of freedom and justice.
",HI
National Historical Park,Kalaupapa,"Kalaupapa, HI","
When Hansen's disease (leprosy) was introduced to the Hawaiian Islands, King Kamehameha V banished all afflicted to the isolated Kalaupapa peninsula on the north shore of Molokai.
Since 1866, more than 8000 people, mostly Hawaiians, have died at Kalaupapa. Once a prison, Kalaupapa is now refuge for the few remaining residents who are now cured, but were forced to live their lives in isolation.
",HI
National Historical Park,Kaloko-Honokōhau,"Kailua-Kona, HI","
To survive in a hot and arid environment the native Hawaiians (kanaka maoli) used ancient fishing skills, including the building of fishponds, and the knowledge of the location of precious fresh water (wai) that flows into the many brackish pools throughout the park. The spirit of the people (poe) and the knowledge of the elders (kupuna) created a tradition of respect and reverence for this area.
",HI
National Historical Park,Pu`uhonua O Hōnaunau,"Honaunau, HI","
Imagine you had just broken the sacred laws, the kapu, and the only punishment was death. Your only chance of survival is to elude your pursuers and reach the Pu'uhonua, a place of refuge. The Pu'uhonua protected the kapu breaker, defeated warriors, as well as civilians during the time of battle. No physical harm could come to those who reached the boundaries of the Pu'uhonua.
",HI
National Historic Site,Pu`ukoholā Heiau,"Kawaihae, HI","
How many places in America can you walk in the footsteps of a king? Where else has a stranded sailor risen up to become a great chief over an entire island? Where else can you experience the culminating event of a people, foretold from centuries past? Where else can you stand on a beach and watch as sharks pass over a submerged temple? Experience all this and much more – only at Pu'ukohola Heiau!
",HI
National Monument,World War II Valor in the Pacific,"Honolulu, HI,AK,CA","
At World War II Valor in the Pacific National Monument, home of the USS Arizona Memorial, learn about one of the most pivotal moments in US history: the attack on Pearl Harbor, and the subsequent entry of the United States into World War II. The monument preserves and interprets the stories of the Pacific War, from the internment of Japanese Americans to the battles in the Aleutians.
","AK,CA,HI"
National Historic Trail,California,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY","
Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.
","CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
National Reserve,City Of Rocks,"Almo, ID","
Emigrants of the California Trail describe the rocks here in vivid detail as ""a city of tall spires,” “steeple rocks,"" and ""the silent city."" Today, this backcountry byway attracts rock climbers, campers, hikers, hunters, and those with the spirit of adventure. There's inspirational scenery, exceptional opportunities for geologic study, and remnants of the Old West awaiting your discovery.
",ID
National Monument & Preserve,Craters Of The Moon,"Arco, Carey and Rupert , ID","
Craters of the Moon is a vast ocean of lava flows with scattered islands of cinder cones and sagebrush. We invite you to explore this ""weird and scenic landscape"" where yesterday's volcanic events are likely to continue tomorrow...
",ID
National Monument,Hagerman Fossil Beds,"Hagerman, ID","
Do you know horses evolved in North America? The Hagerman Horse, Equus simplicidens, is the first true one toed horse. It's the park's most famous fossil but we have fossil evidence of over two hundred different species. From saber-toothed cat, mastodon, bear, camel, and ground sloth, to much smaller animals like rodents and frogs, the scientific study of Pliocene fossils is the key to Hagerman.
",ID
National Geologic Trail,Ice Age Floods,"WA,OR,ID,MT","
""At the end of the last Ice Age, some 12,000 to 17,000 years ago, a series of cataclysmic floods occurred in what is now the northwest region of the United States, leaving a lasting mark of dramatic and distinguishing features on the landscape of parts of the States of Montana, Idaho, Washington and Oregon.""
Public Law 111-11, March 30, 2009
","ID,MT,OR,WA"
National Historic Trail,Lewis & Clark,"Eleven States: ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA","
Between May 1804 and September 1806, 31 men, one woman, and a baby traveled from the plains of the Midwest to the shores of the Pacific Ocean. They called themselves the Corps of Discovery. In their search for a water route to the Pacific Ocean, they opened a window into the west for the young United States.
Read the Lewis and Clark Pups blog, the Newfie News!
","ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA"
National Historic Site,Minidoka,"Jerome, ID,WA","
The Pearl Harbor attack intensified existing hostility towards Japanese Americans. As wartime hysteria mounted, President Roosevelt signed Executive Order 9066 forcing over 120,000 West Coast persons of Japanese ancestry (Nikkei) to leave their homes, jobs, and lives behind and move to one of ten prison camps spread across the nation all because of their ethnicity.  This is Minidoka's story.
","ID,WA"
National Historical Park,Nez Perce,"four states ID,MT,OR,WA","
For thousands of years the valleys, prairies, mountains, and plateaus of the inland northwest have been home to the nimí·pu· (Nez Perce) people. Extremely resilient, they have adapted and survived the settling of the United States. Explore these places. Learn their stories.
","ID,MT,OR,WA"
National Historic Trail,Oregon,"Various States ID,KS,MO,NE,OR,WA,WY","
Imagine yourself an emigrant headed for Oregon: would promises of lush farmlands and a new beginning lure you to leave home and walk for weeks? More than 2,000 miles of trail ruts and traces can still be seen along the Oregon National Historic Trail in six states and serve as reminders of the sacrifices, struggles, and triumphs of early American settlers.
","ID,KS,MO,NE,OR,WA,WY"
National Park,Yellowstone,"Yellowstone National Park, ID,MT,WY","
On March 1, 1872, Yellowstone became the first national park for all to enjoy the unique hydrothermal wonders. Preserved within are Earth's most active and diverse geysers, hot springs, mudpots, and fumaroles.
","ID,MT,WY"
National Historic Trail,Lewis & Clark,"Eleven States: ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA","
Between May 1804 and September 1806, 31 men, one woman, and a baby traveled from the plains of the Midwest to the shores of the Pacific Ocean. They called themselves the Corps of Discovery. In their search for a water route to the Pacific Ocean, they opened a window into the west for the young United States.
Read the Lewis and Clark Pups blog, the Newfie News!
","ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA"
National Historic Site,Lincoln Home,"Springfield, IL","
Abraham Lincoln believed in the ideal that everyone in America should have the opportunity to improve his/her economic and social condition.  Lincoln’s life was the embodiment of that idea.  We know him as the sixteenth president but he was also a spouse, parent, and neighbor who experienced the same hopes, dreams, and challenges of life that are still experienced by many people.
",IL
National Historic Trail,Mormon Pioneer,"Various States IL,IA,NE,UT,WY","
Explore the Mormon Pioneer National Historic Trail across five states to see the 1,300-mile route traveled by Mormons who fled Nauvoo, Illinois, to the Great Salt Lake Valley in 1846-1847.
","IL,IA,NE,UT,WY"
National Monument,Pullman,"Chicago, IL","
In a growing Chicago neighborhood, diverse people and stories intertwine. All were seeking opportunity. Some succeeded. Others were limited—by race, gender, or economic status. Their stories came together in Pullman, a planned community famed for its urban design and architecture.
",IL
National Historic Trail,Trail Of Tears,"AL,AR,GA,IL,KY,MO,NC,OK,TN","
Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839.
","AL,AR,GA,IL,KY,MO,NC,OK,TN"
National Historical Park,George Rogers Clark,"Vincennes, IN","
The British flag would not be raised above Fort Sackville Feb. 25, 1779. At 10 a.m., the garrison surrendered to American Colonel George Rogers Clark. His American army, aided by French residents of the Illinois country, had marched through freezing floodwaters to gain this victory. The fort’s capture assured United States claims to the frontier, an area nearly as large as the original 13 states.
",IN
National Park,Indiana Dunes,"Porter, IN","
Indiana Dunes National Park hugs 15 miles of the southern shore of Lake Michigan and has much to offer. Whether you enjoy scouting for rare species of birds or flying kites on the sandy beach, the national park's 15,000 acres will continually enchant you.  Hikers will enjoy 50 miles of trails over rugged dunes, mysterious wetlands, sunny prairies, meandering rivers and peaceful forests.
",IN
National Memorial,Lincoln Boyhood,"Lincoln City, IN","
Abraham Lincoln grew from youth to manhood on this southern Indiana soil.  Many character and moral traits of one of the world's most respected leaders was formed and nurtured here.  Explore Lincoln's boyhood and learn about the boy who would one day become the leader of our nation.
",IN
National Monument,Effigy Mounds,"Harpers Ferry, IA","
The mounds preserved here are considered sacred by many Americans, especially the Monument's 20 culturally associated American Indian tribes. A visit offers opportunities to contemplate the meanings of the mounds and the people who built them. The 200 plus American Indian mounds are located in one of the most picturesque sections of the Upper Mississippi River Valley.
",IA
National Historic Site,Herbert Hoover,"West Branch, IA","
Orphaned at age nine, Herbert Hoover left West Branch never to live here again. In later years, he returned to his humble birthplace to celebrate his long career of public service. A memorial landscape remains to tell his story: how community, hard work, honesty, and usefulness to others opened a world of opportunity— and the presidency of the United States— to a child of simple beginnings.
",IA
National Historic Trail,Lewis & Clark,"Eleven States: ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA","
Between May 1804 and September 1806, 31 men, one woman, and a baby traveled from the plains of the Midwest to the shores of the Pacific Ocean. They called themselves the Corps of Discovery. In their search for a water route to the Pacific Ocean, they opened a window into the west for the young United States.
Read the Lewis and Clark Pups blog, the Newfie News!
","ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA"
National Historic Trail,Mormon Pioneer,"Various States IL,IA,NE,UT,WY","
Explore the Mormon Pioneer National Historic Trail across five states to see the 1,300-mile route traveled by Mormons who fled Nauvoo, Illinois, to the Great Salt Lake Valley in 1846-1847.
","IL,IA,NE,UT,WY"
National Historic Site,Brown v. Board of Education,"Topeka, KS","
The story of Brown v. Board of Education, which ended legal segregation in public schools, is one of hope and courage. When the people agreed to be plaintiffs in the case, they never knew they would change history. The people who make up this story were ordinary people. They were teachers, secretaries, welders, ministers and students who simply wanted to be treated equally.
",KS
National Historic Trail,California,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY","
Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.
","CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
National Historic Site,Fort Larned,"Larned, KS","
Discover a complete and authentic army post from the 1860s -1870s! This well-preserved fort on the Santa Fe Trail shares a tumultuous history of the Indian Wars era. The sandstone constructed buildings sheltered troops who were known as the Guardians of the Santa Fe Trail.
",KS
National Historic Site,Fort Scott,"Fort Scott, KS","
Promises made and broken! A town attacked at dawn! Thousands made homeless by war! Soldiers fighting settlers! Each of these stories is a link in the chain of events that encircled Fort Scott from 1842-1873. All of the site's structures, its parade ground, and its tallgrass prairie bear witness to this era when the country was forged from a young republic into a united transcontinental nation.
",KS
National Historic Trail,Lewis & Clark,"Eleven States: ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA","
Between May 1804 and September 1806, 31 men, one woman, and a baby traveled from the plains of the Midwest to the shores of the Pacific Ocean. They called themselves the Corps of Discovery. In their search for a water route to the Pacific Ocean, they opened a window into the west for the young United States.
Read the Lewis and Clark Pups blog, the Newfie News!
","ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA"
National Historic Site,Nicodemus,"Nicodemus, KS","
Formerly enslaved African Americans left Kentucky in organized colonies at the end of the of post-Civil War Reconstruction period to experience freedom in the ""promised land"" of Kansas. Nicodemus represents the involvement of African Americans in the westward expansion and settlement of the Great Plains. It is the oldest and only remaining Black settlement west of the Mississippi River.
",KS
National Historic Trail,Oregon,"Various States ID,KS,MO,NE,OR,WA,WY","
Imagine yourself an emigrant headed for Oregon: would promises of lush farmlands and a new beginning lure you to leave home and walk for weeks? More than 2,000 miles of trail ruts and traces can still be seen along the Oregon National Historic Trail in six states and serve as reminders of the sacrifices, struggles, and triumphs of early American settlers.
","ID,KS,MO,NE,OR,WA,WY"
National Historic Trail,Pony Express,"Various States CA,CO,KS,MO,NE,NV,UT,WY","
It is hard to believe that young men once rode horses to carry mail from Missouri to California in the unprecedented time of only 10 days. This relay system along the Pony Express National Historic Trail in eight states was the most direct and practical means of east-west communications before the telegraph.
","CA,CO,KS,MO,NE,NV,UT,WY"
National Historic Trail,Santa Fe,"CO,KS,MO,NM,OK","
You can almost hear the whoops and cries of ""All's set!"" as trail hands hitched their oxen to freight wagons carrying cargo between western Missouri and Santa Fe, New Mexico. Follow the Santa Fe National Historic Trail through five states and you'll find adventure and evidence of past travelers who made this remarkable trip before you!
","CO,KS,MO,NM,OK"
National Preserve,Tallgrass Prairie,"Strong City, KS","
Where's the tall grass? Tallgrass prairie once covered 170 million acres of North America. Within a generation the vast majority was developed and plowed under. Today less than 4% remains, mostly here in the Kansas Flint Hills. The preserve protects a nationally significant remnant of the once vast tallgrass prairie and its cultural resources. Here the tallgrass prairie makes its last stand.
",KS
National Historical Park,Abraham Lincoln Birthplace,"Hodgenville, KY","
For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln.  His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War.  The country's first memorial to Lincoln, built with donations from young and old, enshrines the symbolic birthplace cabin.
",KY
National River & Recreation Area,Big South Fork,"Oneida, KY,TN","
Encompassing 125,000 acres of the Cumberland Plateau, Big South Fork National River and Recreation Area protects the free-flowing Big South Fork of the Cumberland River and its tributaries. The area boasts miles of scenic gorges and sandstone bluffs, is rich with natural and historic features and has been developed to provide visitors with a wide range of outdoor recreational activities.
","KY,TN"
National Monument,Camp Nelson,KY,"
Established as a Union supply depot and hospital during the Civil War, Camp Nelson became a recruitment and training center for African American soldiers, and a refugee camp for their wives and children. Thousands of slaves risked their lives escaping to this site with the hope of securing their freedom and, ultimately, controlling their futures by aiding in the destruction of slavery.
",KY
National Historical Park,Cumberland Gap,"Middlesboro, KY,TN,VA","
At Cumberland Gap, the first great gateway to the west, follow the buffalo, the Native American, the longhunter, the pioneer... all traveled this route through the mountains into the wilderness of Kentucky. Modern day explorers and travelers stand in awe at this great gateway and the many miles of trails and scenic features found in the park.
","KY,TN,VA"
National Battlefield,Fort Donelson,"Dover, KY,TN","
Brigadier General Ulysses S. Grant was becoming quite famous as he wrote these words following the surrender of Confederate Fort Donelson on Sunday, February 16, 1862. The Union victory at Fort Donelson elated the North, and stunned the South. Within days of the surrender, Clarksville and Nashville would fall into Union hands. Grant and his troops had created a pathway to victory for the Union.
","KY,TN"
National Park,Mammoth Cave,"Mammoth Cave, KY","
Mammoth Cave National Park preserves the cave system and a part of the Green River valley and hilly country of south central Kentucky. This is the world's longest known cave system, with more than 400 miles (643 km) explored. Early guide Stephen Bishop called the cave a ""grand, gloomy and peculiar place,"" but its vast chambers and complex labyrinths have earned its name - Mammoth.
",KY
National Historic Trail,Trail Of Tears,"AL,AR,GA,IL,KY,MO,NC,OK,TN","
Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839.
","AL,AR,GA,IL,KY,MO,NC,OK,TN"
National Heritage Area,Atchafalaya,No information,"
Our country’s landscape is rich and mysterious.  It is filled with twisting bayous, rivers and America’s largest river swamp.  We have fields of sugar cane and cotton, ancient live oaks and towering cypress.  Alligators, raccoons, and even bears roam our lands while 270 species of birds take to our skies.  From our waters come catfish, shrimp, oysters and the crawfish that make us so well known.
",LA
National Heritage Area,Cane River,"Natchitoches, LA","
More than 300-years of history are etched into the rural landscape of colonial forts, plantations, churches, cemeteries, and homes that comprise Cane River National Heritage Area. Historically, this region lay at the intersection of the French and Spanish Realms in the New World, with the town of Natchitoches originating as an important 18th century trade center.
",LA
National Historical Park,Cane River Creole,"Natchez, LA","
The Cane River region is home to a unique culture; the Creoles. Generations of the same families of owners and workers, enslaved and tenant, lived on these lands for over 200 years. The park tells their stories and preserves the cultural landscape of Oakland and Magnolia Plantations, two of the most intact Creole cotton plantations in the United States.
",LA
National Historic Trail,El Camino Real de los Tejas,"Various States TX,LA","
Come on a journey that will carry you through 300 years of Louisiana and Texas frontier settlement and development on a Spanish colonial ""royal road"" that originally extended to Mexico City, Mexico.
","LA,TX"
National Historical Park and Preserve,Jean Lafitte,"New Orleans, LA","
In Jean Lafitte's day, silver and gold filled a pirate's treasure chest, but today's treasures are people, places, and memories. Discover New Orleans’ rich cultural mix. Learn Cajun traditions from people who live them. Watch an alligator bask on a bayou’s bank. Walk in the footsteps of the men who fought at 1815’s Battle of New Orleans. Follow the link to discover the treasure of Jean Lafitte.
",LA
National Historical Park,New Orleans Jazz,"New Orleans, LA","
Only in New Orleans could there be a National Park for jazz! Drop by our visitor center at the New Orleans Jazz Museum at 400 Esplanade Ave. or 916 North Peters St. to inquire about musical events around town. In the mood for a world class musical experience? Attend a jazz concert or ranger performance at the new state of the art performance venue on the 3rd floor of the New Orleans Jazz Museum.
",LA
